Fecha;Llamadas_Predecidas;Llamadas_Recibidas;Es_Cyber;;;;;;;;;;;;;;;;;
01-06-2021;5328;9800;SI;;;;;;;;;;;;;;;;;
02-06-2021;5114;7687;SI;;;;;;;;;;;;;;;;;
03-06-2021;4906;5895;NO;;;;;;;;;;;;;;;;;
04-06-2021;4534;5045;NO;;;;;;;;;;;;;;;;;
05-06-2021;1757;2228;NO;;;;;;;;;;;;;;;;;
06-06-2021;1044;791;NO;;;;;;;;;;;;;;;;;
07-06-2021;5168;4955;NO;;;;;;;;;;;;;;;;;
08-06-2021;4586;4057;NO;;;;;;;;;;;;;;;;;
09-06-2021;4467;3621;NO;;;;;;;;;;;;;;;;;
10-06-2021;4469;3530;NO;;;;;;;;;;;;;;;;;
11-06-2021;3817;3507;NO;;;;;;;;;;;;;;;;;
12-06-2021;1370;1392;NO;;;;;;;;;;;;;;;;;
13-06-2021;826;606;NO;;;;;;;;;;;;;;;;;
14-06-2021;4661;3989;NO;;;;;;;;;;;;;;;;;
15-06-2021;4109;3850;NO;;;;;;;;;;;;;;;;;
16-06-2021;3964;3680;NO;;;;;;;;;;;;;;;;;
17-06-2021;3949;3299;NO;;;;;;;;;;;;;;;;;
18-06-2021;3392;3001;NO;;;;;;;;;;;;;;;;;
19-06-2021;1229;1285;NO;;;;;;;;;;;;;;;;;
20-06-2021;737;479;NO;;;;;;;;;;;;;;;;;
21-06-2021;4624;980;NO;;;;;;;;;;;;;;;;;
22-06-2021;4117;3961;NO;;;;;;;;;;;;;;;;;
23-06-2021;3914;3759;NO;;;;;;;;;;;;;;;;;
24-06-2021;3909;3769;NO;;;;;;;;;;;;;;;;;
25-06-2021;3421;3331;NO;;;;;;;;;;;;;;;;;
26-06-2021;1150;1586;NO;;;;;;;;;;;;;;;;;
27-06-2021;713;642;NO;;;;;;;;;;;;;;;;;
28-06-2021;975;974;NO;;;;;;;;;;;;;;;;;
29-06-2021;5275;3999;NO;;;;;;;;;;;;;;;;;
30-06-2021;5321;4525;NO;;;;;;;;;;;;;;;;;
01-07-2021;5606;4082;NO;;;;;;;;;;;;;;;;;
02-07-2021;4766;4163;NO;;;;;;;;;;;;;;;;;
03-07-2021;1634;1517;NO;;;;;;;;;;;;;;;;;
04-07-2021;824;640;NO;;;;;;;;;;;;;;;;;
05-07-2021;5932;7192;NO;;;;;;;;;;;;;;;;;
06-07-2021;4759;5188;NO;;;;;;;;;;;;;;;;;
07-07-2021;4272;4109;NO;;;;;;;;;;;;;;;;;
08-07-2021;3622;3224;NO;;;;;;;;;;;;;;;;;
09-07-2021;3403;3275;NO;;;;;;;;;;;;;;;;;
10-07-2021;1855;1264;NO;;;;;;;;;;;;;;;;;
11-07-2021;1049;511;NO;;;;;;;;;;;;;;;;;
12-07-2021;4175;3283;NO;;;;;;;;;;;;;;;;;
13-07-2021;3759;3009;NO;;;;;;;;;;;;;;;;;
14-07-2021;3380;2758;NO;;;;;;;;;;;;;;;;;
15-07-2021;2935;2513;NO;;;;;;;;;;;;;;;;;
16-07-2021;1020;835;NO;;;;;;;;;;;;;;;;;
17-07-2021;1510;887;NO;;;;;;;;;;;;;;;;;
18-07-2021;749;405;NO;;;;;;;;;;;;;;;;;
19-07-2021;4267;2955;NO;;;;;;;;;;;;;;;;;
20-07-2021;3859;2772;NO;;;;;;;;;;;;;;;;;
21-07-2021;3458;2647;NO;;;;;;;;;;;;;;;;;
22-07-2021;3044;2597;NO;;;;;;;;;;;;;;;;;
23-07-2021;2879;2524;NO;;;;;;;;;;;;;;;;;
24-07-2021;1763;1212;NO;;;;;;;;;;;;;;;;;
25-07-2021;827;620;NO;;;;;;;;;;;;;;;;;
