iter	RMSE
0	3.694198121
1	3.594843651
2	3.507174354
3	3.410405247
4	3.316557413
5	3.233511475
6	3.156116115
7	3.074806919
8	2.998090269
9	2.929261064
10	2.860150398
11	2.795875301
12	2.742708261
13	2.679637056
14	2.623592617
15	2.563810038
16	2.509487914
17	2.461995432
18	2.414192961
19	2.376539197
20	2.336035625
21	2.294013223
22	2.246877859
23	2.213083344
24	2.179907445
25	2.142236505
26	2.102921302
27	2.068788219
28	2.031363061
29	2.004279432
30	1.975798207
31	1.945819848
32	1.914599185
33	1.888764761
34	1.864709352
35	1.841823921
36	1.822786804
37	1.788801968
38	1.76150851
39	1.738326899
40	1.717637296
41	1.6987395
42	1.674915797
43	1.654632448
44	1.634058698
45	1.611817447
46	1.592713934
47	1.573830326
48	1.552684614
49	1.538605223
50	1.524629349
51	1.510238965
52	1.498798844
53	1.485942969
54	1.469274313
55	1.456804179
56	1.441420105
57	1.429647725
58	1.421841039
59	1.408405131
60	1.396945371
61	1.382640356
62	1.372218529
63	1.364107442
64	1.348186677
65	1.332358618
66	1.317848082
67	1.305137542
68	1.296669355
69	1.288930582
70	1.278298887
71	1.269558178
72	1.262304301
73	1.249751703
74	1.244389963
75	1.235657422
76	1.22442136
77	1.21452215
78	1.20545881
79	1.198388623
80	1.192790347
81	1.187523007
82	1.178224956
83	1.171400015
84	1.163484795
85	1.155463403
86	1.150569944
87	1.144788211
88	1.13779615
89	1.131088111
90	1.125439949
91	1.116370751
92	1.111362978
93	1.100321482
94	1.094280113
95	1.087707785
96	1.080778843
97	1.079809193
98	1.070365668
99	1.065078588
100	1.060349961
101	1.054429479
102	1.048288457
103	1.038216999
104	1.030799877
105	1.022858915
106	1.016972289
107	1.012682492
108	1.006179351
109	1.003012838
110	0.9984814015
111	0.9956152648
112	0.9916331717
113	0.9877647547
114	0.9797526635
115	0.974443523
116	0.9710184862
117	0.9672843671
118	0.9639919153
119	0.9593811047
120	0.951532584
121	0.9476706853
122	0.9455925372
123	0.9409327657
124	0.9375595496
125	0.9342983774
126	0.9331321805
127	0.9272703106
128	0.9229823461
129	0.9184100072
130	0.9157631991
131	0.9085136035
132	0.9042130454
133	0.9006257799
134	0.8927451552
135	0.8884920208
136	0.8822049149
137	0.8768798781
138	0.8729822872
139	0.8704479698
140	0.8654190012
141	0.8610576153
142	0.8591664457
143	0.8554915703
144	0.8534093641
145	0.8521063425
146	0.8474099606
147	0.8419717564
148	0.8400247741
149	0.8314483823
150	0.8257689397
151	0.8231594153
152	0.8189879647
153	0.8141943962
154	0.8092583965
155	0.8037480863
156	0.8013577215
157	0.793768528
158	0.792352967
159	0.7893763606
160	0.7832280357
161	0.7824271792
162	0.7765900291
163	0.772661641
164	0.7676136193
165	0.7648423865
166	0.7640831923
167	0.7612591581
168	0.7598673899
169	0.7541594397
170	0.7512852553
171	0.7474908199
172	0.7409534064
173	0.7347842394
174	0.7325571911
175	0.7265454091
176	0.7235603743
177	0.7183128822
178	0.7143673619
179	0.7139768166
180	0.7135842014
181	0.712979893
182	0.7124533228
183	0.7097608012
184	0.7065324453
185	0.7018477759
186	0.6974392393
187	0.6939125701
188	0.6900400978
189	0.6866731531
190	0.6863468961
191	0.6857942596
192	0.6852371113
193	0.6844048216
194	0.6823329572
195	0.6791843169
196	0.6788021044
197	0.672888638
198	0.6723746741
199	0.6698107901
