iter	Passed	Remaining
0	1	252
1	2	207
2	3	200
3	3	188
4	4	178
5	5	168
6	5	161
7	6	154
8	7	149
9	7	146
10	8	144
11	9	147
12	10	148
13	11	147
14	11	145
15	12	143
16	13	143
17	13	141
18	14	139
19	15	137
20	15	135
21	16	134
22	17	132
23	17	131
24	18	129
25	19	128
26	19	127
27	20	125
28	21	125
29	21	124
30	22	122
31	23	121
32	23	120
33	24	119
34	25	118
35	25	117
36	26	116
37	27	115
38	27	115
39	28	114
40	29	113
41	30	112
42	30	112
43	31	111
44	32	110
45	32	109
46	33	108
47	33	107
48	34	106
49	35	105
50	35	104
51	36	103
52	37	103
53	37	102
54	38	101
55	39	100
56	40	100
57	40	99
58	41	98
59	42	98
60	42	97
61	43	96
62	43	95
63	44	94
64	45	94
65	46	93
66	46	92
67	47	91
68	47	90
69	48	90
70	49	89
71	49	88
72	50	87
73	51	87
74	51	86
75	52	85
76	53	84
77	53	84
78	54	83
79	55	82
80	55	81
81	56	81
82	56	80
83	57	79
84	58	79
85	59	78
86	59	77
87	60	76
88	60	76
89	61	75
90	62	74
91	62	73
92	63	73
93	64	72
94	64	71
95	65	70
96	66	70
97	66	69
98	67	68
99	67	67
100	68	67
101	69	66
102	69	65
103	70	64
104	70	64
105	71	63
106	72	62
107	72	62
108	73	61
109	74	60
110	74	59
111	75	59
112	76	58
113	76	57
114	77	57
115	78	56
116	78	55
117	79	55
118	80	54
119	81	54
120	81	53
121	82	52
122	82	51
123	83	51
124	84	50
125	85	49
126	85	49
127	86	48
128	87	47
129	87	47
130	88	46
131	88	45
132	89	45
133	90	44
134	90	43
135	91	43
136	92	42
137	92	41
138	93	41
139	94	40
140	95	39
141	95	39
142	96	38
143	97	37
144	97	37
145	99	36
146	99	36
147	100	35
148	101	34
149	102	34
150	103	33
151	103	32
152	104	32
153	105	31
154	105	30
155	106	30
156	107	29
157	108	28
158	109	28
159	110	27
160	110	26
161	113	26
162	114	25
163	115	25
164	115	24
165	116	23
166	117	23
167	117	22
168	118	21
169	119	21
170	120	20
171	120	19
172	121	18
173	122	18
174	122	17
175	123	16
176	123	16
177	124	15
178	125	14
179	125	13
180	126	13
181	127	12
182	127	11
183	128	11
184	129	10
185	129	9
186	130	9
187	131	8
188	131	7
189	132	6
190	132	6
191	133	5
192	134	4
193	134	4
194	135	3
195	136	2
196	137	2
197	137	1
198	138	0
199	139	0
