iter	RMSE
0	1.375707172
1	1.339052566
2	1.300796605
3	1.265800278
4	1.23231243
5	1.199790222
6	1.170550669
7	1.142984154
8	1.116862627
9	1.09084363
10	1.067905574
11	1.041878931
12	1.01877217
13	0.9970933386
14	0.9796774478
15	0.9596773104
16	0.9426763187
17	0.9246976203
18	0.9063691633
19	0.8889815282
20	0.8719182003
21	0.8538316972
22	0.8386075546
23	0.8209474131
24	0.8060067298
25	0.7926174359
26	0.7807609279
27	0.7729514803
28	0.7603230708
29	0.7502607056
30	0.7403111801
31	0.7308653991
32	0.7198230796
33	0.706949161
34	0.6952597052
35	0.684835804
36	0.6766058865
37	0.6678700532
38	0.6596580323
39	0.651577016
40	0.6441103968
41	0.6367406525
42	0.6261568209
43	0.6192471707
44	0.6125519414
45	0.605304221
46	0.5995336685
47	0.5921451462
48	0.5852151884
49	0.5795382858
50	0.570809889
51	0.5642061124
52	0.5562624457
53	0.5511818368
54	0.5460540259
55	0.539852195
56	0.5357444937
57	0.5323347567
58	0.5266557559
59	0.5207989798
60	0.517886875
61	0.5136240592
62	0.5098407405
63	0.5057991329
64	0.5011819104
65	0.4975453908
66	0.4929750718
67	0.4888162423
68	0.4850516455
69	0.4817438793
70	0.4770535789
71	0.4749867113
72	0.4706229049
73	0.4674985071
74	0.4651051047
75	0.4621439228
76	0.4586531155
77	0.4556121539
78	0.451607833
79	0.4489303865
80	0.4465326233
81	0.4427502642
82	0.4399630315
83	0.4377107563
84	0.435223961
85	0.4320688958
86	0.4275898129
87	0.4241308511
88	0.4208617311
89	0.4178219305
90	0.4141852835
91	0.410806206
92	0.4082045315
93	0.4053154851
94	0.4024901699
95	0.4000288147
96	0.3963036153
97	0.3947114795
98	0.3921722751
99	0.3898178634
100	0.3873956293
101	0.3853441517
102	0.3835242153
103	0.3820769428
104	0.3799184145
105	0.3771881066
106	0.3746053036
107	0.3734443082
108	0.3706905744
109	0.3691091335
110	0.3674991122
111	0.3657360758
112	0.3643787694
113	0.3625997497
114	0.3599792491
115	0.3585477935
116	0.3572140286
117	0.354711437
118	0.3526054897
119	0.3502770036
120	0.3483078394
121	0.3460485923
122	0.3448155883
123	0.3415193
124	0.3393457139
125	0.3374315525
126	0.3355296253
127	0.3342337382
128	0.3327251637
129	0.330709884
130	0.3292113924
131	0.325839386
132	0.3229830682
133	0.3217753234
134	0.3206059731
135	0.3189873588
136	0.3173614484
137	0.3161947444
138	0.3142057491
139	0.3130331836
140	0.3119322471
141	0.3105351422
142	0.3081318253
143	0.3068471594
144	0.3055349127
145	0.3045762864
146	0.3033900897
147	0.3023563277
148	0.3013665678
149	0.3002861766
150	0.2990213293
151	0.2970608627
152	0.2962929966
153	0.2944473791
154	0.2930662801
155	0.292255769
156	0.2915604332
157	0.2899203326
158	0.2879899315
159	0.2862891591
160	0.2844044269
161	0.2833624691
162	0.2825033102
163	0.2817489922
164	0.2807607606
165	0.2798962643
166	0.2792468876
167	0.2780852076
168	0.2766808444
169	0.2761278832
170	0.2752382124
171	0.2736591547
172	0.2731101088
173	0.2724112493
174	0.271578798
175	0.2709703999
176	0.2695338978
177	0.2675713583
178	0.2668899898
179	0.2647127329
180	0.26402097
181	0.2633767444
182	0.2623270973
183	0.261136769
184	0.2606064045
185	0.2582584221
186	0.2576414173
187	0.2559553011
188	0.2554872513
189	0.2547197504
190	0.2534772456
191	0.2530382646
192	0.2506344955
193	0.2501349376
194	0.2480977946
195	0.2473919523
196	0.2452902721
197	0.2433516661
198	0.2422166643
199	0.2411182418
