iter	Passed	Remaining
0	1	360
1	4	430
2	6	395
3	7	380
4	10	395
5	12	390
6	13	381
7	15	364
8	16	351
9	21	410
10	23	400
11	24	390
12	26	378
13	27	362
14	28	350
15	29	343
16	31	338
17	32	332
18	34	330
19	36	329
20	37	323
21	39	318
22	40	313
23	42	315
24	44	313
25	46	309
26	48	311
27	50	311
28	52	308
29	53	303
30	54	298
31	56	294
32	57	291
33	59	291
34	61	288
35	62	284
36	63	280
37	65	280
38	67	278
39	71	286
40	73	286
41	75	283
42	76	280
43	79	280
44	82	282
45	85	285
46	86	281
47	88	278
48	89	275
49	90	272
50	92	269
51	93	266
52	94	262
53	96	259
54	97	257
55	99	255
56	101	254
57	102	250
58	103	247
59	104	244
60	106	241
61	107	239
62	108	236
63	110	234
64	111	231
65	112	228
66	114	227
67	115	224
68	117	222
69	121	226
70	123	224
71	124	221
72	125	219
73	127	217
74	128	214
75	130	212
76	133	213
77	136	214
78	140	215
79	143	214
80	145	213
81	146	211
82	147	208
83	150	207
84	151	205
85	153	203
86	154	201
87	156	199
88	157	196
89	158	194
90	160	191
91	161	189
92	163	187
93	165	186
94	166	184
95	168	182
96	170	180
97	171	178
98	172	176
99	174	174
100	175	172
101	177	170
102	179	168
103	180	166
104	181	164
105	184	163
106	185	161
107	187	160
108	189	158
109	191	156
110	193	154
111	194	152
112	196	151
113	198	149
114	200	148
115	202	146
116	205	145
117	206	143
118	208	141
119	210	140
120	211	138
121	213	136
122	214	134
123	216	132
124	217	130
125	219	128
126	220	126
127	222	124
128	223	122
129	224	120
130	225	118
131	226	116
132	228	115
133	229	113
134	231	111
135	232	109
136	233	107
137	235	105
138	236	103
139	237	101
140	239	100
141	240	98
142	241	96
143	242	94
144	244	92
145	245	90
146	246	89
147	248	87
148	249	85
149	251	83
150	252	81
151	254	80
152	255	78
153	256	76
154	257	74
155	258	72
156	260	71
157	261	69
158	262	67
159	263	65
160	264	64
161	266	62
162	267	60
163	268	58
164	269	57
165	270	55
166	271	53
167	273	52
168	274	50
169	275	48
170	276	46
171	278	45
172	279	43
173	280	41
174	281	40
175	283	38
176	284	36
177	285	35
178	286	33
179	288	32
180	289	30
181	290	28
182	291	27
183	293	25
184	294	23
185	295	22
186	296	20
187	298	19
188	299	17
189	300	15
190	302	14
191	303	12
192	304	11
193	305	9
194	306	7
195	307	6
196	309	4
197	310	3
198	311	1
199	312	0
